text,n,tweet_url
**** Breaking news ... I have just been told by a senior source that the DECISION on SCHOOLS RE OPENING will be announced TOMORROW now and not SUNDAY #coronavirus #schoolsreopening ... watch this space,294,https://twitter.com/chrisdysonHT/status/1258036617975156742
"Coronavirus UK

•Don’t lift lockdown now
•Mandate face masks
•Don’t open schools as kids spread infection
•Stop CV19 deaths at home while hospitals lie empty
•No bailouts for Tax Haven Corps
•Stop sending CV19 Care Home patients back into Care Homes
•Public Inquiry needed",286,https://twitter.com/ToryFibs/status/1258008325402374144
"German plan to restart economy and reopening of society leaked

⚽ Bundesliga likely to resume
📚 Schools to reopen gradually for all pupils
🛍️ Shops also to reopen

Germany has seen fewer than 7,000 deaths in the coronavirus pandemic https://t.co/ySPC1za0rq",83,https://twitter.com/BBCWorld/status/1257985900832792577
Teachers and parents urge @GavinWilliamson not to rush to re-open schools in join letter from @NEUnion and @Parentkind https://t.co/rxEok8g3Yn,58,https://twitter.com/tes/status/1258052586126675970
"South Korea reported only THREE new cases of the virus, its lowest total since Feb 18, and schools will be reopened in PHASED steps, starting with high school seniors on May 13.

UK had 6,111 new cases reported yesterday.
Now is not the time #FiveTests https://t.co/FFKCh8xHgQ",51,https://twitter.com/cyclingkev/status/1258286862801698816
"Government continues to insist PPE is not needed in schools, despite over three quarters of teachers saying in a Tes survey they need protective equipment to feel safe in re-opened schools https://t.co/RbqcNurLnp",44,https://twitter.com/tes/status/1258085379279912963
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/zXCXFZN3ht",39,https://twitter.com/SkyNews/status/1258053909987426313
"Social workers are bracing for a surge in referrals of vulnerable children when schools re-open.

Referrals dropped by more than 50% at the start of April, as the majority of children were no longer coming into contact with their usual support networks😔
https://t.co/Fltwtynrfe",39,https://twitter.com/childrensociety/status/1258026276822175744
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/ZaijigThCV",36,https://twitter.com/SkyNews/status/1258119036371636224
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/m9uE6BUyzW",34,https://twitter.com/SkyNews/status/1258024407563472896
"Social workers brace for surge in child protection referrals when schools re-open

@ChildrensComm tells me school closures will have devastating long-term impact on children – with some never able to catch up – unless urgent action is taken to support them https://t.co/PADVul5rQg",20,https://twitter.com/maybulman/status/1258030689863245824
"Housing Sec @RobertJenrick says the govt has ""taken scientific advice"" on the level of protective equipment needed in schools when they reopen, and the current advice is that staff in non-residential settings ""don't require PPE"".

#Coronavirus latest: https://t.co/mrEW6A74e7 https://t.co/bKTY9C5hUo",19,https://twitter.com/SkyNews/status/1258081695682658306
The UK has the highest coronavirus death toll in Europe and they’re talking about opening the schools again in a few weeks,17,https://twitter.com/BenJolly9/status/1257606360054759425
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/XD07eOSJqq",17,https://twitter.com/SkyNews/status/1258128148941725698
