text,n
The UK has the highest coronavirus death toll in Europe and they’re talking about opening the schools again in a few weeks,596
"Official: #mufc are donating £300,000 to local schools during the coronavirus pandemic. 30 schools will receive £10,000 each #mulive",585
"Huge majority against lifting coronavirus lockdown - the widely reported 'pressure' to end it comes from big business, and the media itself as a mouthpiece for big business https://t.co/pYAqPAIwov",334
**** Breaking news ... I have just been told by a senior source that the DECISION on SCHOOLS RE OPENING will be announced TOMORROW now and not SUNDAY #coronavirus #schoolsreopening ... watch this space,294
"Coronavirus UK

•Don’t lift lockdown now
•Mandate face masks
•Don’t open schools as kids spread infection
•Stop CV19 deaths at home while hospitals lie empty
•No bailouts for Tax Haven Corps
•Stop sending CV19 Care Home patients back into Care Homes
•Public Inquiry needed",286
"""The British government has repeatedly said it does not believe that banning large-scale gatherings and closing schools -- like Italy, France, Germany and Spain have done -- would be effective in preventing the spread of the disease.""

CNN, March 14th

https://t.co/IthYulUvXG",238
"German plan to restart economy and reopening of society leaked

⚽ Bundesliga likely to resume
📚 Schools to reopen gradually for all pupils
🛍️ Shops also to reopen

Germany has seen fewer than 7,000 deaths in the coronavirus pandemic https://t.co/ySPC1za0rq",237
Germany postpones decision on reopening schools. Denmark says reproduction rate for coronavirus has risen significantly since it started reopening schools and kindergartens two weeks ago. https://t.co/0ploBM8fsp,179
"Prime MInister Boris Johnson has said the UK is now past the peak of the coronavirus pandemic. 

He adds he will next week set out a plan for how the restart the economy, how schools will resume and offices reopen. https://t.co/hh9f0pmA6X",169
"Scottish gvt on schools:

This is a *very* striking graph showing that:

- the most likely scenario shows schools reopening leading to a small increase in the number of people needing a hospital bed

- BUT the worst case scenario is dreadful 

Doc here

https://t.co/FwxefG0b9W https://t.co/ZRhLESy9ZJ",160
"Link to the survey the dfe are using to gauge parents opinion on schools reopening. Any teacher parents I urge you to fill it in, it closes in the next 24hrs. 

https://t.co/oolBfcZq7w",117
Fearful Britons remain strongly opposed to lifting coronavirus lockdown https://t.co/eqvkKsNwkE,105
"Things that city leaders can do to drive a green recovery from #COVIDー19: remove through motor traffic from residential streets; extend pavements near shops, schools and parks; safe routes on foot, bike and scooter to green spaces; #cycle routes to work:  https://t.co/uBqHBnJMZ1",96
Coronavirus: Germany is reopening its schools and the world is watching https://t.co/ahFd01DPxe,96
"Why? Why don't private schools ask the parents to donate? Some of them are very wealthy We, the taxpayers, are now subsidising them 
 https://t.co/EmgG66I3l3",90
"Alternative Headline:

Sensible UK citizens continue to take the #coronavirus crisis seriously with a UK death toll of 28k-50k victims. It's not sorted yet!

Meanwhile insane Americans campaign to ignore the virus as a hoax and die in even greater numbers

https://t.co/gYyUoo6aW5",87
"Coronavirus: Educators set 5 tests for reopening schools
National Education Union say lower case count, testing for staff and pupils and social distancing are priorities if schools are to reopen safely https://t.co/xGDoMGETfI",72
"- UK now has world's second highest death toll (29,502) after the US (70,646)
- Schools in China's Hubei province begin to re-open
- Top UK lockdown professor resigns  
- Trump announces White House coronavirus task force to be replaced

Morning update: https://t.co/9TFIaGNeV8",69
"Evidence:
https://t.co/6yyejfvp69
https://t.co/TAEnCoMaXN",67
Teachers and parents urge @GavinWilliamson not to rush to re-open schools in join letter from @NEUnion and @Parentkind https://t.co/rxEok8g3Yn,58
"We have ""every reason to believe that children can infect others"", and we should ""take that seriously"", according to Professor @PeterDrobac from the University of Oxford
https://t.co/r0L7o9kvAN",55
"#Coronavirus: Germany is set to partially reopen its schools in the coming days, and the world is watching.

Analysis from Sky's Europe correspondent @adamparsons 👇 https://t.co/tc3VZTxLNK",52
Breaking: Prime Minister Boris Johnson announces plan for school reopening will be set out next week  https://t.co/gj2Yio9AoU,51
"South Korea reported only THREE new cases of the virus, its lowest total since Feb 18, and schools will be reopened in PHASED steps, starting with high school seniors on May 13.

UK had 6,111 new cases reported yesterday.
Now is not the time #FiveTests https://t.co/FFKCh8xHgQ",51
"Teachers set out five tests that need to be passed before schools can open fully,  including creation of a national social distancing plan - drawn up by @NEUnion https://t.co/tHbCDMyIdY",47
"""We've tried to act as quickly, as effectively, as efficiently as possible. We think the best way of getting to the most vulnerable children in our community is to go through the schools.""

#MUFC have been working hard to help the community during the coronavirus lockdown...",46
The leaders of England's two largest teaching unions have come together with others from across the UK to urge 'significant caution' over plans to reopen schools https://t.co/NX72UVX4C1,45
"Something I’m noticing about the 5G / Coronavirus conspiracy theories is that quite a few of my mates from back home in the Midlands are taking them seriously. These are not stupid people. Our schools were awful and we’re technically “poorly educated”, but they’re not stupid.",45
"Government continues to insist PPE is not needed in schools, despite over three quarters of teachers saying in a Tes survey they need protective equipment to feel safe in re-opened schools https://t.co/RbqcNurLnp",44
Primary schools 'will go back on JUNE 1 as coronavirus lockdown is lifted https://t.co/1yJytnmYor,43
"#Coronavirus: Germany is set to partially reopen its schools in the coming days, and the world is watching.

Analysis from Sky's Europe correspondent @adamparsons 👇 https://t.co/1Gi5aBnnBh",40
"Social workers are bracing for a surge in referrals of vulnerable children when schools re-open.

Referrals dropped by more than 50% at the start of April, as the majority of children were no longer coming into contact with their usual support networks😔
https://t.co/Fltwtynrfe",39
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/zXCXFZN3ht",39
"Speaking to local headteachers there is increasing concern over this rush to reopen schools - have you ever tried to get a group of 6-year-olds to stay 2m apart from each other for a whole day?

Ministers must listen to teachers as they draw up these plans.https://t.co/pnyhwakIHR",38
Coronavirus: Schools reopen in Chinese city where pandemic began https://t.co/D6Lo1PB6E3,36
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/ZaijigThCV",36
I see mention of children not transmitting the virus and that we should open schools - really? How solid is this data?  Viral loads can be as high as in adults - is this a risk worth taking? Not in my opinion. Coronavirus: children in intensive care https://t.co/DoB49A0PII,35
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/m9uE6BUyzW",34
#NASUWT and nine other trade unions write to education ministers in the UK and Ireland urging significant caution on schools reopening during #Coronavirus crisis. Full text of letter here: https://t.co/Ql8YxyiSui https://t.co/4eEUnLEiaW,34
"""The evidence has been that we wouldn't be able to open up all schools without a very real risk that the R rate, the transmission rate, would rise at such a level that we would risk a second spike,"" says Foreign Secretary Dominic Raab.

Latest on #COVID19: https://t.co/LsLSE4WbTz https://t.co/sK6Sn5REuO",33
"UK coronavirus live: too early to reopen schools in Scotland, says Scottish government https://t.co/uFSMvqJFaW",32
"Criteria drawn up by the @NEUnion call for testing of staff and students and a national plan for social distancing within schools before they are reopened
https://t.co/tHbCDMyIdY",30
"""We will not compromise the safety of your children.""

@NicolaSturgeon says schools in Scotland may not reopen ""this side of the summer holidays"", and vulnerable pupils or those transferring to secondary school might return first.

#COVID19 latest: https://t.co/l4UtAMTt6L https://t.co/7tpHsupRRa",30
"Overwhelming proportion of Brits want pubs, schools and restaurants to remain shut

https://t.co/ERx3xUGCkC https://t.co/epPpkqkGCz",29
"We want to hear from families about life since schools closed due to #coronavirus. We've created two surveys. Please complete or share with your network! 
- For parents and carers: https://t.co/mDz8J6jyPQ 
- For children and young people: https://t.co/Xp7RMJJr60 https://t.co/8GOieTDxNh",28
"Gosh, I wonder what they’re afraid of.

Fearful Britons remain strongly opposed to lifting coronavirus lockdown | Coronavirus outbreak | The Guardian https://t.co/kObkSb4jar",27
"""Undoubtedly this government, like all governments, will have made mistakes.""

@michaelgove says there ""will be a time"" when the #coronavirus is under control that the government can ask itself ""deep and probing"" questions on how it handled the crisis.

https://t.co/ijoZkuDnuS https://t.co/KYMbasAKor",26
"Government must lead on reopening of UK schools after lockdown, says union boss https://t.co/WnrI8HSUbz",26
"New: There's been a big focus on schools reopening after lockdown, but childcare providers are seldom mentioned. I spoke to nurseries and childminders fearing for their futures - with huge consequences for staff, parents and the economy as a whole https://t.co/CY9HQComH4",25
