text,n
**** Breaking news ... I have just been told by a senior source that the DECISION on SCHOOLS RE OPENING will be announced TOMORROW now and not SUNDAY #coronavirus #schoolsreopening ... watch this space,294
"Coronavirus UK

•Don’t lift lockdown now
•Mandate face masks
•Don’t open schools as kids spread infection
•Stop CV19 deaths at home while hospitals lie empty
•No bailouts for Tax Haven Corps
•Stop sending CV19 Care Home patients back into Care Homes
•Public Inquiry needed",286
"German plan to restart economy and reopening of society leaked

⚽ Bundesliga likely to resume
📚 Schools to reopen gradually for all pupils
🛍️ Shops also to reopen

Germany has seen fewer than 7,000 deaths in the coronavirus pandemic https://t.co/ySPC1za0rq",83
Teachers and parents urge @GavinWilliamson not to rush to re-open schools in join letter from @NEUnion and @Parentkind https://t.co/rxEok8g3Yn,58
"South Korea reported only THREE new cases of the virus, its lowest total since Feb 18, and schools will be reopened in PHASED steps, starting with high school seniors on May 13.

UK had 6,111 new cases reported yesterday.
Now is not the time #FiveTests https://t.co/FFKCh8xHgQ",51
"Government continues to insist PPE is not needed in schools, despite over three quarters of teachers saying in a Tes survey they need protective equipment to feel safe in re-opened schools https://t.co/RbqcNurLnp",44
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/zXCXFZN3ht",39
"Social workers are bracing for a surge in referrals of vulnerable children when schools re-open.

Referrals dropped by more than 50% at the start of April, as the majority of children were no longer coming into contact with their usual support networks😔
https://t.co/Fltwtynrfe",39
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/ZaijigThCV",36
"Schools have reopened in Wuhan, the city where #COVID19 originated, in a sign of China's increasing confidence that it is over the worst of its outbreak https://t.co/m9uE6BUyzW",34
"Social workers brace for surge in child protection referrals when schools re-open

@ChildrensComm tells me school closures will have devastating long-term impact on children – with some never able to catch up – unless urgent action is taken to support them https://t.co/PADVul5rQg",20
"Housing Sec @RobertJenrick says the govt has ""taken scientific advice"" on the level of protective equipment needed in schools when they reopen, and the current advice is that staff in non-residential settings ""don't require PPE"".

#Coronavirus latest: https://t.co/mrEW6A74e7 https://t.co/bKTY9C5hUo",19
The UK has the highest coronavirus death toll in Europe and they’re talking about opening the schools again in a few weeks,17
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/XD07eOSJqq",17
"Things that city leaders can do to drive a green recovery from #COVIDー19: remove through motor traffic from residential streets; extend pavements near shops, schools and parks; safe routes on foot, bike and scooter to green spaces; #cycle routes to work:  https://t.co/uBqHBnJMZ1",12
"“It’s almost inconceivable that all pupils will be back before the summer holidays. I honestly can’t see that being possible”

@scotgov Deputy First Minister @JohnSwinney speaks to @rjcurran2 about when Scotland’s schools could return after the coronavirus pandemic. #ScotResponse https://t.co/8HWUYRdbOs",12
"Exc: WhatsApp users are spreading details of Ireland’s exit strategy...but claiming them as UK government advice. 

The messages imply lockdown will effectively end in August, with bars, schools and swimming pools reopened.
https://t.co/CtgewFvxxp",12
"Reopening all schools at once would create a risk of the virus infection rate rising and causing a second wave, Dominic Raab has said https://t.co/h2E2orHPTD",12
The @NEUnion has joined forces with @Parentkind in sending a letter to education secretary @GavinWilliamson urging caution about the reopening of schools https://t.co/ZHKLVUyeEy - via @Specktator100 for @tes,10
"Paying teachers over time to work in summer schools will be essential to helping disadvantaged children catch up following the school closures, according to @TeachFirst 
https://t.co/VNJjkpFIhL",10
"- UK now has world's second highest death toll (29,502) after the US (70,646)
- Schools in China's Hubei province begin to re-open
- Top UK lockdown professor resigns  
- Trump announces White House coronavirus task force to be replaced

Morning update: https://t.co/9TFIaGNeV8",10
"Schools in UK may not return until September, Hancock warns https://t.co/D3MiM6RZ7p",9
