,trigram,n
2228,donating local schools,610
1438,coronavirus death toll,606
1565,coronavirus pandemic schools,600
1985,death toll europe,599
9164,uk highest coronavirus,597
8593,talking opening schools,597
3540,highest coronavirus death,597
7259,schools coronavirus pandemic,596
6327,re talking opening,596
2594,europe they re,596
8995,toll europe they,596
5443,opening schools weeks,596
8834,they re talking,596
4426,local schools coronavirus,595
5548,pandemic schools receive,595
4945,mufc donating local,594
5317,official mufc donating,594
7479,schools receive mulive,585
4331,lifting coronavirus lockdown,493
5798,plan restart economy,406
568,big business media,334
1228,comes big business,334
9734,widely reported pressure,334
3656,huge majority lifting,334
5993,pressure end comes,334
2508,end comes big,334
4764,media mouthpiece big,334
4500,lockdown widely reported,334
4592,majority lifting coronavirus,334
1529,coronavirus lockdown widely,334
4912,mouthpiece big business,334
707,business media mouthpiece,334
6668,reported pressure end,334
5157,news told senior,294
2015,decision schools opening,294
5421,opening announced tomorrow,294
8990,told senior source,294
1611,coronavirus schoolsreopening watch,294
7663,schoolsreopening watch space,294
8430,sunday coronavirus schoolsreopening,294
9010,tomorrow sunday coronavirus,294
271,announced tomorrow sunday,294
650,breaking news told,294
7845,senior source decision,294
8120,source decision schools,294
7437,schools opening announced,294
2221,don open schools,290
6151,public inquiry needed,286
1911,cv19 deaths home,286
1910,cv19 care home,286
7842,sending cv19 care,286
4328,lift lockdown mandate,286
8308,stop sending cv19,286
4106,kids spread infection,286
3787,infection stop cv19,286
8181,spread infection stop,286
1652,coronavirus uk don,286
3609,homes public inquiry,286
5219,no bailouts tax,286
451,back care homes,286
9152,uk don lift,286
783,care home patients,286
786,care homes public,286
481,bailouts tax corps,286
3628,hospitals lie empty,286
4623,mandate face masks,286
8307,stop cv19 deaths,286
5657,patients back care,286
4463,lockdown mandate face,286
1681,corps stop sending,286
2503,empty no bailouts,286
8609,tax corps stop,286
4677,masks don open,286
3583,home hospitals lie,286
3594,home patients back,286
2718,face masks don,286
7361,schools kids spread,286
5405,open schools kids,286
2220,don lift lockdown,286
1995,deaths home hospitals,286
4317,lie empty no,286
3081,gatherings closing schools,246
4152,largescale gatherings closing,238
2169,disease cnn march,238
488,banning largescale gatherings,238
2467,effective preventing spread,238
534,believe banning largescale,238
3942,italy france germany,238
6657,repeatedly said believe,238
9885,would effective preventing,238
6989,said believe banning,238
1193,cnn march th,238
8130,spain done would,238
1161,closing schools like,238
3122,germany spain done,238
8177,spread disease cnn,238
2240,done would effective,238
679,british government repeatedly,238
3268,government repeatedly said,238
5999,preventing spread disease,238
7370,schools like italy,238
2977,france germany spain,238
8804,the british government,238
4342,like italy france,238
4359,likely resume schools,237
3108,german plan restart,237
2800,fewer deaths coronavirus,237
2359,economy reopening society,237
6507,reopen gradually pupils,237
223,also reopen germany,237
6506,reopen germany seen,237
7493,schools reopen gradually,237
6652,reopening society leaked,237
4215,leaked bundesliga likely,237
7825,seen fewer deaths,237
6205,pupils shops also,237
7928,shops also reopen,237
6735,restart economy reopening,237
1992,deaths coronavirus pandemic,237
8087,society leaked bundesliga,237
700,bundesliga likely resume,237
6763,resume schools reopen,237
3316,gradually pupils shops,237
3120,germany seen fewer,237
6031,prime minister boris,221
4836,minister boris johnson,221
2014,decision reopening schools,188
