,trigram,n
61,announced tomorrow sunday,294
385,coronavirus schoolsreopening watch,294
2231,told senior source,294
2005,source decision schools,294
2237,tomorrow sunday coronavirus,294
2089,sunday coronavirus schoolsreopening,294
1246,news told senior,294
1940,senior source decision,294
157,breaking news told,294
1307,opening announced tomorrow,294
1813,schools opening announced,294
492,decision schools opening,294
1885,schoolsreopening watch space,294
2044,stop sending cv19,286
2043,stop cv19 deaths,286
868,home hospitals lie,286
188,care home patients,286
872,home patients back,286
463,cv19 deaths home,286
983,kids spread infection,286
462,cv19 care home,286
675,face masks don,286
190,care homes public,286
877,homes public inquiry,286
1073,lockdown mandate face,286
2132,tax corps stop,286
396,coronavirus uk don,286
402,corps stop sending,286
1367,patients back care,286
1798,schools kids spread,286
1040,lie empty no,286
1109,mandate face masks,286
917,infection stop cv19,286
1489,public inquiry needed,286
104,back care homes,286
487,deaths home hospitals,286
537,don lift lockdown,286
1263,no bailouts tax,286
1301,open schools kids,286
538,don open schools,286
108,bailouts tax corps,286
1938,sending cv19 care,286
884,hospitals lie empty,286
2271,uk don lift,286
615,empty no bailouts,286
2021,spread infection stop,286
1042,lift lockdown mandate,286
1116,masks don open,286
1599,reopened wuhan city,126
1843,schools reopened wuhan,126
261,city covid19 originated,126
2494,wuhan city covid19,126
1401,plan restart economy,86
805,gradually pupils shops,84
770,germany seen fewer,84
1574,reopen germany seen,84
769,german plan restart,84
1575,reopen gradually pupils,84
1641,restart economy reopening,84
1621,reopening society leaked,84
1649,resume schools reopen,84
1011,leaked bundesliga likely,84
1832,schools reopen gradually,84
1995,society leaked bundesliga,84
167,bundesliga likely resume,84
1502,pupils shops also,84
1050,likely resume schools,84
52,also reopen germany,84
1934,seen fewer deaths,84
486,deaths coronavirus pandemic,84
1958,shops also reopen,84
687,fewer deaths coronavirus,84
573,economy reopening society,84
310,confidence worst outbreak,70
915,increasing confidence worst,70
1318,originated sign chinas,70
429,covid19 originated sign,70
1969,sign chinas increasing,70
257,chinas increasing confidence,70
1698,rush reopen schools,60
2323,urge gavinwilliamson rush,58
1032,letter neunion parentkind,58
1585,reopen schools join,58
1796,schools join letter,58
960,join letter neunion,58
1357,parents urge gavinwilliamson,58
2150,teachers parents urge,58
764,gavinwilliamson rush reopen,58
1319,originated students wore,56
1117,masks entered single,56
1979,single file past,56
505,desks kept one,56
1147,metre apart arrival,56
1734,scanners desks kept,56
2440,wore masks entered,56
65,apart arrival times,56
430,covid19 originated students,56
693,file past thermal,56
77,arrival times staggered,56
633,entered single file,56
1289,one metre apart,56
2065,students wore masks,56
976,kept one metre,56
1366,past thermal scanners,56
2190,thermal scanners desks,56
198,cases reported yesterday,51
2280,uk new cases,51
1094,lowest total since,51
991,korea reported three,51
199,cases virus lowest,51
1596,reopened phased steps,51
2364,virus lowest total,51
1623,reported three new,51
2038,steps starting high,51
1227,new cases reported,51
685,feb schools reopened,51
1840,schools reopened phased,51
1624,reported yesterday time,51
2032,starting high school,51
1752,school seniors may,51
1392,phased steps starting,51
1941,seniors may uk,51
2007,south korea reported,51
856,high school seniors,51
2210,three new cases,51
