time_floor,tweet_count
2020-04-30 14:00:00,14
2020-04-30 15:00:00,60
2020-04-30 16:00:00,195
2020-04-30 17:00:00,127
2020-04-30 18:00:00,73
2020-04-30 19:00:00,65
2020-04-30 20:00:00,58
2020-04-30 21:00:00,73
2020-04-30 22:00:00,34
2020-04-30 23:00:00,13
2020-05-01 00:00:00,16
2020-05-01 01:00:00,14
2020-05-01 02:00:00,3
2020-05-01 03:00:00,3
2020-05-01 04:00:00,7
2020-05-01 05:00:00,37
2020-05-01 06:00:00,48
2020-05-01 07:00:00,66
2020-05-01 08:00:00,85
2020-05-01 09:00:00,81
2020-05-01 10:00:00,44
2020-05-01 11:00:00,45
2020-05-01 12:00:00,45
2020-05-01 13:00:00,61
2020-05-01 14:00:00,53
2020-05-01 15:00:00,53
2020-05-01 16:00:00,35
2020-05-01 17:00:00,55
2020-05-01 18:00:00,61
2020-05-01 19:00:00,33
2020-05-01 20:00:00,28
2020-05-01 21:00:00,47
2020-05-01 22:00:00,41
2020-05-01 23:00:00,12
2020-05-02 00:00:00,5
2020-05-02 01:00:00,9
2020-05-02 02:00:00,4
2020-05-02 03:00:00,2
2020-05-02 04:00:00,4
2020-05-02 05:00:00,13
2020-05-02 06:00:00,24
2020-05-02 07:00:00,39
2020-05-02 08:00:00,74
2020-05-02 09:00:00,37
2020-05-02 10:00:00,32
2020-05-02 11:00:00,33
2020-05-02 12:00:00,29
2020-05-02 13:00:00,18
2020-05-02 14:00:00,13
2020-05-02 15:00:00,8
2020-05-02 16:00:00,12
2020-05-02 17:00:00,21
2020-05-02 18:00:00,15
2020-05-02 19:00:00,9
2020-05-02 20:00:00,11
2020-05-02 21:00:00,15
2020-05-02 22:00:00,27
2020-05-02 23:00:00,10
2020-05-03 00:00:00,13
2020-05-03 01:00:00,2
2020-05-03 02:00:00,4
2020-05-03 03:00:00,5
2020-05-03 04:00:00,1
2020-05-03 05:00:00,20
2020-05-03 06:00:00,18
2020-05-03 07:00:00,51
2020-05-03 08:00:00,171
2020-05-03 09:00:00,168
2020-05-03 10:00:00,219
2020-05-03 11:00:00,153
2020-05-03 12:00:00,125
2020-05-03 13:00:00,171
2020-05-03 14:00:00,159
2020-05-03 15:00:00,100
2020-05-03 16:00:00,175
2020-05-03 17:00:00,97
2020-05-03 18:00:00,125
2020-05-03 19:00:00,77
2020-05-03 20:00:00,87
2020-05-03 21:00:00,64
2020-05-03 22:00:00,37
2020-05-03 23:00:00,23
2020-05-04 00:00:00,19
2020-05-04 01:00:00,8
2020-05-04 02:00:00,12
2020-05-04 03:00:00,6
2020-05-04 04:00:00,6
2020-05-04 05:00:00,18
2020-05-04 06:00:00,35
2020-05-04 07:00:00,54
2020-05-04 08:00:00,39
2020-05-04 09:00:00,52
2020-05-04 10:00:00,42
2020-05-04 11:00:00,81
2020-05-04 12:00:00,54
2020-05-04 13:00:00,23
2020-05-04 14:00:00,39
2020-05-04 15:00:00,43
2020-05-04 16:00:00,91
2020-05-04 17:00:00,32
2020-05-04 18:00:00,18
2020-05-04 19:00:00,30
2020-05-04 20:00:00,10
2020-05-04 21:00:00,35
2020-05-04 22:00:00,35
2020-05-04 23:00:00,10
2020-05-05 00:00:00,4
2020-05-05 01:00:00,3
2020-05-05 02:00:00,6
2020-05-05 03:00:00,1
2020-05-05 04:00:00,5
2020-05-05 05:00:00,12
2020-05-05 06:00:00,31
2020-05-05 07:00:00,38
2020-05-05 08:00:00,60
2020-05-05 09:00:00,107
2020-05-05 10:00:00,107
2020-05-05 11:00:00,440
2020-05-05 12:00:00,355
2020-05-05 13:00:00,247
2020-05-05 14:00:00,184
2020-05-05 15:00:00,143
2020-05-05 16:00:00,142
2020-05-05 17:00:00,133
2020-05-05 18:00:00,136
2020-05-05 19:00:00,147
2020-05-05 20:00:00,107
2020-05-05 21:00:00,66
2020-05-05 22:00:00,66
2020-05-05 23:00:00,24
2020-05-06 00:00:00,22
2020-05-06 01:00:00,18
2020-05-06 02:00:00,11
2020-05-06 03:00:00,4
2020-05-06 04:00:00,13
2020-05-06 05:00:00,21
2020-05-06 06:00:00,53
2020-05-06 07:00:00,59
2020-05-06 08:00:00,78
2020-05-06 09:00:00,83
2020-05-06 10:00:00,189
2020-05-06 11:00:00,151
2020-05-06 12:00:00,131
2020-05-06 13:00:00,146
2020-05-06 14:00:00,185
2020-05-06 15:00:00,190
2020-05-06 16:00:00,144
2020-05-06 17:00:00,127
2020-05-06 18:00:00,93
2020-05-06 19:00:00,89
2020-05-06 20:00:00,82
2020-05-06 21:00:00,62
2020-05-06 22:00:00,38
2020-05-06 23:00:00,29
2020-05-07 00:00:00,27
2020-05-07 01:00:00,10
2020-05-07 02:00:00,3
2020-05-07 03:00:00,6
2020-05-07 04:00:00,17
2020-05-07 05:00:00,21
2020-05-07 06:00:00,59
2020-05-07 07:00:00,96
2020-05-07 08:00:00,69
2020-05-07 09:00:00,62
2020-05-07 10:00:00,54
2020-05-07 11:00:00,31
