word,n
#covid19,429
#coronavirus,316
#covid19uk,40
#covid,32
#makewomenvisible,29
#palantir,19
#coronavirusuk,14
#covid_19,12
#nhsapp,10
#government,9
#data,9
#stateofcare,8
#uk,8
#leder,8
#getitdone,8
#boristhebutcher,8
#socialcare,8
#contacttracingapp,8
#ons,7
#panarama,7
#dataprotection,7
#london,6
#virtualevents,6
#borisjohnson,6
#ifgdatabites,6
#iconiclabs,5
#icon,5
#freeassange,5
#coronauk,5
#world,5
#prisonerspeopletoo,5
#savejulian,5
#breaking,4
#dontvaccinate,4
#trump,4
#uknews,4
#talkradio,4
#dataprivacy,4
#retail,4
#dailybriefinguk,4
#contacttracing,4
#billgates,4
#realestate,4
#brexit,4
#socialmedia,4
#covidupdates,4
#lockdownexit,4
#breakingnews,4
#news,4
#trackandtrace,4
#it,3
#gloucestershire,3
#msm,3
#testingforcovid19,3
#realnews,3
#privacy,3
#nasenchatlive,3
#gmb,3
#nhs,3
#lockdownuk,3
#heretohelp,3
#pmqs,3
#extendthelockdown,3
#voteleave,3
#cobr,3
#applemobilitytrends,3
#vaccines,3
#banking,3
#bbc,3
#covid__19,3
#cheltenham,3
#cybertech,3
#cybersecurity,3
#day40oflockdown,3
#cnn,2
#fintech,2
#sme,2
#fintechfinance,2
#lockdown,2
#compliance,2
#carehomes,2
#lendtech,2
#wato,2
#opendata,2
#wednesdaymorning,2
#boris,2
#bigbrother2020,2
#bbcaq,2
#regtech,2
#bank,2
#credit,2
#covidupdate,2
#crossbo,2
#stopcovid,2
#fintechlife,2
#r4today,2
#theinconversation,2
#domesticabusebill’s,2
#usanews,2
#learningfromdeaths,2
#datascience,2
#analytics,2
#kyb,2
#knowyourcustomer,2
#app,2
#trackingapp,1
#toriesliepeopledie,1
#tracker,1
#vocativeconsulting,1
#vote,1
#ridge,1
#righttoinfo,1
#sage,1
#shaftesbury,1
#stayathome,1
#trust,1
#targets,1
#savelives,1
#venaltories,1
#smartphones,1
#vaccinesresearch,1
#savethenhs,1
#scotland,1
#vegboxes,1
#testing,1
#jobretentionscheme,1
#publichealthscotland,1
#dailybriefings,1
#fraud,1
#florida,1
#eugenics,1
#dna,1
#digitalidentity,1
#dicrimination,1
#ddj,1
#davidicke,1
#datavis,1
#dailybriefing,1
#property,1
#dailybrief,1
#cull,1
#covidapp,1
#coronaviruslockdownuk,1
#corona,1
#carenews,1
#c4news,1
#british,1
#athome,1
#garbage,1
#gchq,1
#gillingham,1
#grants,1
#privsec,1
#ppe,1
#population,1
#parentsecure,1
#panorama,1
#pandemic,1
#openlicence,1
#nochangethere,1
#ncsc,1
#ncov19,1
#motcombe,1
#media,1
#marr,1
#manx,1
#live,1
#jeremyvine,1
#indoors,1
#highereducation,1
#hed,1
#ww3,1
