,trigram,n
3020,uk statistics authority,308
1622,ireland deep hot,282
2668,statistics authority ukstatsauth,282
1420,health ireland deep,282
2673,statistics covid19 ive,282
876,deep hot water,282
1499,hot water provision,282
3030,ukstatsauth quite correctly,282
654,critical dreadful performance,282
3141,water provision statistics,282
625,covid19 ive critical,282
1644,ive critical dreadful,282
2258,provision statistics covid19,282
2158,performance uk statistics,282
892,dept health ireland,282
972,dreadful performance uk,282
190,authority ukstatsauth quite,282
2298,quite correctly reprimanded,282
1705,leaving home even,255
2474,say would uncomfortable,255
1880,month polling data,255
3209,would uncomfortable leaving,255
270,brits say would,255
1292,government lifted coronavirus,255
534,coronavirus restrictions month,255
1727,lifted coronavirus restrictions,255
1470,home even government,255
3031,uncomfortable leaving home,255
2195,polling data says,255
2411,restrictions month polling,255
1789,many brits say,255
1038,even government lifted,255
2517,scotland scottish welsh,226
2521,scottish welsh minister,226
542,coronavirus testing sites,226
2541,seeing vital data,226
2719,stopped scottish gov,226
1331,government stopped scottish,226
257,breaking scandal uk,226
2995,uk government stopped,226
2484,scandal uk government,226
1365,granted access resultsonly,226
1241,gov seeing vital,226
3156,weeks later according,226
2610,sites across scotland,226
3164,welsh minister granted,226
2811,testing sites across,226
699,data collected rapid,226
2519,scottish gov seeing,226
25,across scotland scottish,226
2311,rapid coronavirus testing,226
2413,resultsonly weeks later,226
391,collected rapid coronavirus,226
3111,vital data collected,226
1856,minister granted access,226
8,access resultsonly weeks,226
1683,later according guardian,226
2508,scientists urgently investigating,196
1737,link previously thought,193
1748,living obesity may,193
2992,uk government scientists,193
3171,whether people living,193
315,care units suggested,193
3066,urgently investigating whether,193
998,emerging data intensive,193
741,data intensive care,193
2000,obesity may disproportionately,193
1616,investigating whether people,193
2730,stronger link previously,193
3041,units suggested stronger,193
2139,people living obesity,193
1941,new uk government,193
1323,government scientists urgently,193
1813,may disproportionately affected,193
937,disproportionately affected coronavirus,193
54,affected coronavirus emerging,193
1604,intensive care units,193
502,coronavirus emerging data,193
2740,suggested stronger link,193
354,check details data,153
900,details data dashboard,153
2952,trends data uk,115
139,apple mobility trends,115
1870,mobility trends data,115
531,coronavirus press conference,114
1924,new cases uk,113
2213,press conference slides,113
811,day rolling average,113
2559,seven day rolling,113
790,data uk seven,113
2848,thread coronavirus press,113
3018,uk seven day,113
432,conference slides may,112
3005,uk new cases,112
2445,rolling average daily,112
2820,tests uk new,112
1815,may five tests,112
41,adjusting lockdown apple,112
192,average daily tests,112
2813,tests adjusting lockdown,112
1755,lockdown apple mobility,112
681,daily tests uk,112
1162,five tests adjusting,112
2614,slides may five,112
544,coronavirus tests confirmed,94
2204,positive confirmed rate,94
2814,tests confirmed positive,94
2314,rate check details,94
442,confirmed rate check,94
440,confirmed positive confirmed,94
383,cmowales publichealthw healthdpt,89
908,dhscgovuk cmo_england phe_uk,89
381,cmo_england phe_uk nhsengland,89
2273,publichealthw healthdpt publichealthni,89
2511,scotgovhealth cmowales publichealthw,89
2167,phe_uk nhsengland scotgovhealth,89
1960,nhsengland scotgovhealth cmowales,89
2788,targeted herd immunity,77
894,described targeted herd,75
2248,proposed simulation policy,75
1106,faculty proposed simulation,75
945,document considered around,75
2190,policy longer contemplated,75
2189,policy described targeted,75
1104,faculty planning document,75
2180,planning document considered,75
2600,simulation policy described,75
1962,nhsx faculty planning,75
1534,immunity part nhsx,75
469,controversial policy longer,75
1858,ministers insisted controversial,75
166,around march week,75
448,considered around march,75
1446,herd immunity part,75
1594,insisted controversial policy,75
2095,part nhsx faculty,75
3150,week ministers insisted,75
1802,march week ministers,75
492,coronavirus death toll,71
453,contact tracing app,70
1029,europe according official,68
19,according official statistics,68
840,deaths care homes,67
1772,lucywatsonitv explains figure,65
1942,news correspondent lucywatsonitv,65
2886,toll europe according,65
1083,explains figure calculated,65
1643,itv news correspondent,65
554,correspondent lucywatsonitv explains,65
2680,statistics itv news,65
2021,official statistics itv,65
832,death toll europe,65
3003,uk highest coronavirus,65
1456,highest coronavirus death,65
1811,may coronavirus tests,63
441,confirmed positive today,59
2333,real time better,59
3037,understand growth trend,59
238,better understand growth,59
3048,update data make,59
747,data make line,59
710,data dashboard confirmed,59
2745,summarize update data,59
2951,trend number infected,59
2856,time better understand,59
686,dashboard confirmed positive,59
352,chart real time,59
1380,growth trend number,59
1987,number infected people,59
1577,infected people check,59
2124,people check details,59
1781,make line chart,59
1732,line chart real,59
3115,voluntarily summarize update,59
1925,new contact tracing,57
1430,healthdpt publichealthni may,51
1306,government outsource new,49
411,company falsified nhs,49
1503,hours service ran,49
1500,hotline was charged,49
1951,nhs data gp,49
2071,outrageous government outsource,49
2523,screening hotline was,49
258,breast cancer screening,49
2553,service ran inadequate,49
3136,was charged fraud,49
731,data gp hours,49
456,contact tracing system,49
2072,outsource new contact,49
1363,gp hours service,49
1550,inadequate breast cancer,49
2549,serco company falsified,49
2308,ran inadequate breast,49
2773,system serco company,49
288,cancer screening hotline,49
1182,fraud electronic tagging,49
2925,tracing system serco,49
1116,falsified nhs data,49
994,electronic tagging scandal,49
349,charged fraud electronic,49
1821,may voluntarily summarize,41
224,behind worrying trend,39
403,communities deeply alarming,39
743,data latest issue,39
1629,issue gold demand,39
1851,mine production recycling,39
714,data demonstrating disproportionate,39
1086,explore new data,39
1723,lies behind worrying,39
3039,understand lies behind,39
2408,responses coronavirus explore,39
1927,new data latest,39
1691,latest issue gold,39
1053,everything power understand,39
1317,government responses coronavirus,39
586,covid bame communities,39
504,coronavirus explore new,39
1114,falls q1 mine,39
936,disproportionate impact covid,39
1536,impact covid bame,39
56,affected government responses,39
2750,supply falls q1,39
201,bame communities deeply,39
2234,production recycling affected,39
70,alarming government must,39
1230,gold demand trends,39
2356,recycling affected government,39
885,demonstrating disproportionate impact,39
877,deeply alarming government,39
2910,total supply falls,39
2206,power understand lies,39
2296,q1 mine production,39
1299,government must everything,39
1892,must everything power,39
1429,healthdpt publichealthni april,38
1435,heinous actually infection,36
1579,infection reached point,36
89,always could taken,36
563,could taken statistics,36
2782,taken statistics care,36
1469,home deaths didnt,36
2669,statistics care home,36
3181,words government always,36
297,care home deaths,36
1090,exposed fucking heinous,36
846,deaths didnt wouldve,36
2324,reached point return,36
1189,fucking heinous actually,36
33,actually infection reached,36
910,didnt wouldve exposed,36
3210,wouldve exposed fucking,36
1246,government always could,36
738,data included deaths,34
1158,first time click,34
912,died contracting covid19,34
405,community first time,34
637,covid19 uk according,34
1265,government data included,34
301,care homes community,34
1554,included deaths care,34
2857,time click read,34
2974,uk according government,34
1475,homes community first,34
13,according government data,34
2127,people died contracting,34
