,trigram,n
396,policy described targeted,31
175,document considered around,31
196,faculty planning document,31
513,targeted herd immunity,31
324,ministers insisted controversial,31
478,simulation policy described,31
356,nhsx faculty planning,31
274,insisted controversial policy,31
162,described targeted herd,31
72,considered around march,31
76,controversial policy longer,31
376,part nhsx faculty,31
267,immunity part nhsx,31
255,herd immunity part,31
18,around march week,31
309,march week ministers,31
584,week ministers insisted,31
197,faculty proposed simulation,31
397,policy longer contemplated,31
394,planning document considered,31
410,proposed simulation policy,31
213,full data transparency,19
318,messaging many people,18
188,expect much harsher,18
247,harsher second peak,18
306,many lockdown already,18
499,subsequently expect much,18
399,polling speaking range,18
335,much harsher second,18
307,many people impression,18
295,lockdown already government,18
468,second peak coronavirus,18
484,speaking range people,18
382,people impression subsequently,18
543,traffic data observations,18
270,impression subsequently expect,18
232,government messaging many,18
361,observations polling speaking,18
139,data observations polling,18
385,people many lockdown,18
12,already government messaging,18
377,peak coronavirus covid19,18
81,coronavirus covid19 deaths,18
423,range people many,18
25,based traffic data,18
120,current future service,15
340,need full data,15
472,service planning vodgmembership,15
383,people inform current,15
107,covid disabled people,15
144,data transparency understand,15
273,inform current future,15
572,urgently need full,15
546,transparency understand impacts,15
269,impacts covid disabled,15
216,future service planning,15
568,understand impacts covid,15
170,disabled people inform,15
52,check details data,11
163,details data dashboard,11
243,great britain however,7
71,confirmed rate check,7
11,almost million tests,7
388,per day fourth,7
233,government missed target,7
79,coronavirus carried across,7
263,however government missed,7
402,positive confirmed rate,7
210,fourth day row,7
2,across great britain,7
424,rate check details,7
141,data shows almost,7
69,confirmed positive confirmed,7
476,shows almost million,7
310,may coronavirus tests,7
146,day fourth day,7
512,target tests per,7
322,million tests coronavirus,7
43,carried across great,7
517,tests confirmed positive,7
34,britain however government,7
518,tests coronavirus carried,7
326,missed target tests,7
148,day row latest,7
519,tests per day,7
532,todays data shows,7
95,coronavirus tests confirmed,7
240,government revised transport,6
297,lockdown period yesterday,6
390,period yesterday weve,6
391,phe_uk nhsengland publichealthni,6
132,data covid19 lockdown,6
165,dhscgovuk cmo_england cmowales,6
354,nhsengland publichealthni publichealthw,6
110,covid19 lockdown period,6
364,office national statistics,6
602,yesterday weve updated,6
451,revised transport data,6
573,use walking cycling,6
57,cmo_england cmowales phe_uk,6
58,cmowales phe_uk nhsengland,6
41,car use walking,6
466,scotgovhealth healthdpt may,6
547,transport data covid19,6
571,updated chart car,6
50,chart car use,6
415,publichealthni publichealthw scotgovhealth,6
416,publichealthw scotgovhealth healthdpt,6
591,weve updated chart,6
7,affected government responses,5
540,total supply falls,5
49,characteristics see full,5
504,supply falls q1,5
411,protected characteristics see,5
510,table also need,5
594,women better represented,5
39,calling women better,5
303,making table also,5
287,latest issue gold,5
278,issue gold demand,5
199,falls q1 mine,5
159,decision making table,5
583,we re calling,5
30,better represented crisis,5
167,died uk since,5
137,data latest issue,5
561,uk since virus,5
171,disaggregated sex well,5
587,well protected characteristics,5
212,full asks makewomenvisible,5
578,virus outbreak began,5
13,also need data,5
238,government responses coronavirus,5
224,gold demand trends,5
408,production recycling affected,5
192,explore new data,5
431,recycling affected government,5
339,need data disaggregated,5
114,crisis decision making,5
372,organisations we re,5
357,normal died uk,5
373,outbreak began midmarch,5
454,said people normal,5
438,represented crisis decision,5
343,new data latest,5
471,see full asks,5
442,responses coronavirus explore,5
134,data disaggregated sex,5
480,since virus outbreak,5
386,people normal died,5
323,mine production recycling,5
86,coronavirus explore new,5
425,re calling women,5
474,sex well protected,5
419,q1 mine production,5
201,fatality numbers may,4
251,healthdpt may coronavirus,4
248,health care system,4
366,official death toll,4
245,growth trend number,4
381,people die office,4
244,groups health care,4
441,responds covid19 pandemic,4
580,voluntarily summarize update,4
582,we calling full,4
570,update data make,4
428,real time better,4
380,people check details,4
493,statistics suggest current,4
548,trend number infected,4
567,understand growth trend,4
284,karl_trotsky jacqui703 uk,4
313,may voluntarily summarize,4
500,suggest current fatality,4
312,may understate damage,4
502,summarize update data,4
492,statistics said people,4
337,national statistics said,4
521,the true death,4
529,time better understand,4
294,line chart real,4
282,jacqui703 uk coronavirus,4
359,numbers may understate,4
348,new statistics suggest,4
536,toll rises people,4
452,rises people die,4
272,infected people check,4
545,transparency groups health,4
358,number infected people,4
320,midmarch the true,4
550,true death toll,4
553,uk coronavirus official,4
508,system responds covid19,4
301,make line chart,4
154,death toll will,4
166,die office national,4
38,calling full data,4
138,data make line,4
143,data transparency groups,4
125,dashboard confirmed positive,4
51,chart real time,4
70,confirmed positive today,4
133,data dashboard confirmed,4
91,coronavirus official death,4
119,current fatality numbers,4
42,care system responds,4
113,covid19 pandemic vodgmembership,4
31,better understand growth,4
153,death toll rises,4
27,began midmarch the,4
290,learning disabilities mortality,2
283,job retention scheme,2
400,polls find public,2
311,may five tests,2
525,thread coronavirus press,2
524,theyve exposed disinformation,2
67,concerns privacy mission,2
147,day rolling average,2
523,there still official,2
470,security controls data,2
37,build understanding coronavirus,2
136,data it systems,2
145,data uk seven,2
36,build trust government,2
528,tighten security controls,2
289,learning disabilities autism,2
285,keep coronavirus check,2
401,population build trust,2
92,coronavirus press conference,2
286,last week infotagion,2
403,powers cheltenham based,2
404,press conference slides,2
150,death count europe,2
296,lockdown apple mobility,2
406,privacy mission creep,2
539,total recoveries uk,2
541,tougher action tech,2
409,programme would published,2
533,told hsj data,2
516,tests adjusting lockdown,2
131,data covid19 deaths,2
482,snp ministers say,2
353,nhsapp could help,2
54,cheltenham based gchq,2
355,nhsuk cybersecurity cybertech,2
121,cybersecurity cybertech gloucestershire,2
102,count europe what,2
384,people learning disabilities,2
496,still official statistics,2
494,statistics total recoveries,2
53,check users raises,2
363,ofcom report people,2
106,covid death count,2
379,people believe theyve,2
369,official statistics total,2
108,covid fake news,2
112,covid19 nhs england,2
109,covid19 deaths learning,2
352,nhs england told,2
350,news ofcom report,2
325,ministers say committed,2
62,committed transparency case,2
279,it systems relation,2
327,mobility trends data,2
473,seven day rolling,2
514,tech companies covid,2
44,case scotgov reveal,2
63,companies covid fake,2
333,mortality review programme,2
509,systems relation nhsuk,2
101,could help keep,2
506,suprising polls find,2
342,new cases uk,2
124,daily tests uk,2
481,slides may five,2
345,new nhsapp could,2
347,new powers cheltenham,2
123,cybertech gloucestershire gfirstlep,2
544,transparency case scotgov,2
520,tests uk new,2
156,deaths learning disabilities,2
219,given new powers,2
453,rolling average daily,2
8,affecting population build,2
9,age ethnicity victims,2
183,ethnicity victims would,2
432,relation nhsuk cybersecurity,2
226,government given new,2
78,coronavirus affecting population,2
430,recoveries uk wonder,2
14,analyse deaths people,2
577,victims would help,2
68,conference slides may,2
575,users raises concerns,2
181,england told hsj,2
80,coronavirus check users,2
465,scotgov reveal age,2
455,say committed transparency,2
237,government requiring tougher,2
220,gloucestershire gfirstlep thegrowthhubbiz,2
217,gchq tighten security,2
16,apple mobility trends,2
435,report people believe,2
193,exposed disinformation last,2
447,reveal age ethnicity,2
198,fake news ofcom,2
599,would published next,2
598,would help build,2
597,would back government,2
75,controls data it,2
595,worrying there still,2
205,find public would,2
3,action tech companies,2
207,five tests adjusting,2
440,requiring tougher action,2
592,what worrying there,2
77,convened panel analyse,2
450,review programme would,2
185,europe what worrying,2
5,adjusting lockdown apple,2
180,england convened panel,2
235,government new nhsapp,2
374,panel analyse deaths,2
250,health england convened,2
168,disabilities autism covid19,2
418,published next year,2
88,coronavirus job retention,2
23,back government requiring,2
558,uk new cases,2
259,highest covid death,2
414,public would back,2
560,uk seven day,2
22,average daily tests,2
169,disabilities mortality review,2
254,help keep coronavirus,2
253,help build understanding,2
252,healthdpt may voluntarily,2
562,uk wonder is,2
264,hsj data covid19,2
422,raises concerns privacy,2
21,autism covid19 nhs,2
28,believe theyve exposed,2
24,based gchq tighten,2
549,trends data uk,2
412,public health england,2
173,disinformation last week,2
157,deaths people learning,2
569,understanding coronavirus affecting,2
83,coronavirus death toll,2
463,science well exact,1
467,scrutiny debated argued,1
486,started exposing tories,1
59,collected measures come,1
485,stage coronavirus give,1
448,revealed government coronavirus,1
464,scotgov continue deliver,1
483,sort centralised system,1
456,say government ignored,1
449,revealing details migrants,1
469,security concerns cybersecurity,1
457,say would uncomfortable,1
65,comparisons coronavirus statistics,1
458,scheme cost bn,1
459,scheme revealed government,1
475,showed uk health,1
460,science public open,1
477,sign coronavirus tracker,1
462,science suggested threat,1
61,come place monday,1
479,since launch according,1
60,collecting data could,1
64,companies track movements,1
66,concerns cybersecurity experts,1
73,contacttracingapp raised security,1
461,science science suggested,1
194,exposing tories horrifically,1
