time_floor,tweet_count
2020-04-28 22:00:00,1
2020-04-29 00:00:00,5
2020-04-29 03:00:00,1
2020-04-29 04:00:00,2
2020-04-29 05:00:00,2
2020-04-29 06:00:00,7
2020-04-29 07:00:00,3
2020-04-29 08:00:00,3
2020-04-29 09:00:00,12
2020-04-29 10:00:00,19
2020-04-29 11:00:00,9
2020-04-29 12:00:00,5
2020-04-29 13:00:00,4
2020-04-29 14:00:00,18
2020-04-29 15:00:00,26
2020-04-29 16:00:00,23
2020-04-29 17:00:00,32
2020-04-29 18:00:00,55
2020-04-29 19:00:00,23
2020-04-29 20:00:00,5
2020-04-29 21:00:00,6
2020-04-29 23:00:00,6
2020-04-30 00:00:00,2
2020-04-30 01:00:00,2
2020-04-30 02:00:00,1
2020-04-30 03:00:00,1
2020-04-30 04:00:00,1
2020-04-30 05:00:00,2
2020-04-30 06:00:00,5
2020-04-30 07:00:00,12
2020-04-30 08:00:00,11
2020-04-30 09:00:00,12
2020-04-30 10:00:00,18
2020-04-30 11:00:00,21
2020-04-30 12:00:00,9
2020-04-30 13:00:00,5
2020-04-30 14:00:00,4
2020-04-30 15:00:00,5
2020-04-30 16:00:00,12
2020-04-30 17:00:00,69
2020-04-30 18:00:00,57
2020-04-30 19:00:00,45
2020-04-30 20:00:00,37
2020-04-30 21:00:00,19
2020-04-30 22:00:00,21
2020-04-30 23:00:00,18
2020-05-01 00:00:00,1
2020-05-01 01:00:00,4
2020-05-01 03:00:00,2
2020-05-01 04:00:00,4
2020-05-01 05:00:00,10
2020-05-01 06:00:00,92
2020-05-01 07:00:00,83
2020-05-01 08:00:00,73
2020-05-01 09:00:00,46
2020-05-01 10:00:00,27
2020-05-01 11:00:00,22
2020-05-01 12:00:00,16
2020-05-01 13:00:00,18
2020-05-01 14:00:00,7
2020-05-01 15:00:00,12
2020-05-01 16:00:00,28
2020-05-01 17:00:00,20
2020-05-01 18:00:00,20
2020-05-01 19:00:00,12
2020-05-01 20:00:00,7
2020-05-01 21:00:00,10
2020-05-01 22:00:00,8
2020-05-01 23:00:00,3
2020-05-02 00:00:00,1
2020-05-02 01:00:00,3
2020-05-02 02:00:00,1
2020-05-02 03:00:00,3
2020-05-02 05:00:00,2
2020-05-02 06:00:00,4
2020-05-02 07:00:00,3
2020-05-02 08:00:00,52
2020-05-02 09:00:00,57
2020-05-02 10:00:00,50
2020-05-02 11:00:00,20
2020-05-02 12:00:00,18
2020-05-02 13:00:00,11
2020-05-02 14:00:00,23
2020-05-02 15:00:00,11
2020-05-02 16:00:00,30
2020-05-02 17:00:00,14
2020-05-02 18:00:00,13
2020-05-02 19:00:00,9
2020-05-02 20:00:00,5
2020-05-02 21:00:00,3
2020-05-02 22:00:00,6
2020-05-02 23:00:00,6
2020-05-03 00:00:00,1
2020-05-03 01:00:00,2
2020-05-03 02:00:00,1
2020-05-03 03:00:00,1
2020-05-03 05:00:00,1
2020-05-03 06:00:00,3
2020-05-03 07:00:00,3
2020-05-03 08:00:00,9
2020-05-03 09:00:00,18
2020-05-03 10:00:00,8
2020-05-03 11:00:00,7
2020-05-03 12:00:00,4
2020-05-03 13:00:00,10
2020-05-03 14:00:00,5
2020-05-03 15:00:00,4
2020-05-03 16:00:00,2
2020-05-03 17:00:00,14
2020-05-03 18:00:00,5
2020-05-03 19:00:00,2
2020-05-03 20:00:00,5
2020-05-03 21:00:00,3
2020-05-03 22:00:00,2
2020-05-03 23:00:00,1
2020-05-04 01:00:00,1
2020-05-04 02:00:00,2
2020-05-04 04:00:00,1
2020-05-04 06:00:00,4
2020-05-04 07:00:00,6
2020-05-04 08:00:00,8
2020-05-04 09:00:00,20
2020-05-04 10:00:00,42
2020-05-04 11:00:00,22
2020-05-04 12:00:00,23
2020-05-04 13:00:00,4
2020-05-04 14:00:00,3
2020-05-04 15:00:00,4
2020-05-04 16:00:00,65
2020-05-04 17:00:00,93
2020-05-04 18:00:00,50
2020-05-04 19:00:00,36
2020-05-04 20:00:00,27
2020-05-04 21:00:00,37
2020-05-04 22:00:00,21
2020-05-04 23:00:00,31
2020-05-05 00:00:00,8
2020-05-05 01:00:00,3
2020-05-05 02:00:00,4
2020-05-05 03:00:00,11
2020-05-05 04:00:00,6
2020-05-05 05:00:00,14
2020-05-05 06:00:00,18
2020-05-05 07:00:00,20
2020-05-05 08:00:00,24
2020-05-05 09:00:00,19
2020-05-05 10:00:00,36
2020-05-05 11:00:00,13
2020-05-05 12:00:00,20
2020-05-05 13:00:00,35
2020-05-05 14:00:00,45
2020-05-05 15:00:00,19
2020-05-05 16:00:00,22
2020-05-05 17:00:00,16
2020-05-05 18:00:00,9
2020-05-05 19:00:00,17
2020-05-05 20:00:00,12
2020-05-05 21:00:00,14
2020-05-05 22:00:00,7
2020-05-05 23:00:00,4
2020-05-06 00:00:00,3
2020-05-06 01:00:00,2
2020-05-06 02:00:00,2
2020-05-06 05:00:00,1
2020-05-06 06:00:00,7
2020-05-06 07:00:00,5
2020-05-06 08:00:00,17
2020-05-06 09:00:00,38
2020-05-06 10:00:00,16
2020-05-06 11:00:00,11
2020-05-06 12:00:00,11
2020-05-06 13:00:00,17
2020-05-06 14:00:00,15
2020-05-06 15:00:00,8
2020-05-06 16:00:00,11
2020-05-06 17:00:00,22
2020-05-06 18:00:00,12
2020-05-06 19:00:00,9
2020-05-06 20:00:00,6
2020-05-06 21:00:00,9
2020-05-06 22:00:00,7
2020-05-06 23:00:00,3
2020-05-07 00:00:00,1
2020-05-07 02:00:00,1
2020-05-07 04:00:00,1
2020-05-07 05:00:00,2
2020-05-07 06:00:00,3
2020-05-07 07:00:00,16
2020-05-07 08:00:00,15
2020-05-07 09:00:00,8
2020-05-07 10:00:00,5
2020-05-07 11:00:00,12
